username,email,role,department
kusno,kusno321@gmail.com,Admin,IT
ratna,ratna123@gmail.com,Admin,Marketing
agus,agus654@gmail.com,Manager,Production
rini,rini987@gmail.com,Employee,Operations
dian,dian321@gmail.com,Admin,Customer Service
eko,eko654@gmail.com,Manager,Research & Development
nina,nina456@gmail.com,Manager,HR
joko,joko789@gmail.com,Employee,Finance
yudi,yudi456@gmail.com,Manager,Production
maya,maya789@gmail.com,Employee,Operations
tina,tina456@gmail.com,Manager,Research & Development
dodi,dodi789@gmail.com,Employee,Security
rani,rani123@gmail.com,Admin,IT
lisa,lisa789@gmail.com,Employee,Finance
agus2,agus234@gmail.com,Admin,Marketing
sinta,sinta567@gmail.com,Manager,Production
dika,dika890@gmail.com,Employee,Operations
nurul,nurul123@gmail.com,Admin,Customer Service
citra,citra789@gmail.com,Employee,Security
irwan,irwan123@gmail.com,Admin,IT
fajar,fajar789@gmail.com,Employee,Finance
laila,laila123@gmail.com,Admin,Marketing
heru,heru456@gmail.com,Manager,Production

